"question","answer"
"많이","A lot, many"
"시간","Time, A length of time, hour"
"너","You"
"인간","A person, a human being"
"사실","The truth, a fact, Actually, really"
"나다","To be born, To come out, grow, spring up"
"이렇다","Like this, to be <this> way"
"어머니","Mother"
"눈","Eyes, Snow"
"뭐","What, something, What? Huh? Why?"
"점","Dot, Point, Point, respect, aspect, way"
"의하다","To be due to, owing to"
"시대","An age, period of time/era/generation"
"다음","Next"
"이러하다","Be this way, be like follows"
"누구","Who"
"전","Before, Pancake"
"곳","Place"
"여러","Many, various"
"하나","One (native Korean numbers), one of, Unite, same (Meaning, mind, thinking)"
"세계","World"
"버리다","Throw away, throw out, dump, (informal) junk, Desert, leave, abandon, (literary) forsake, give up"
"위","The upper part, above"
"운동","Exercise"
"퍼센트","Percent"
"학교","School"
"자기","Oneself, number one, numerouno, self, Darling, Magnetism"
"가장","Most"
"대통령","The president"
"가지","One of the kind or a sort"
"시작하다","To start, begin"
"바로","Straight, uprigh"
"어느","Which"
"그래서","Therefore"
"무엇","That thing, whatever"
"정부","Government"
"모든","Every, all"
"번","Particle for showing ""number of times"" ( such as: 한번 - once)"
"그거","That thing"
"돈","Money"
"국가","A state or a nation"
"그런데","But, however"
"날","Day"
"여기","Here"
"모두","Everybody, Everything"
"여성","Female"
"친구","A friend"
"마음","Heart, mind, feelings"
"후","After"
"놓다","Put, place, to lay, put"
"관계","Connection, relation"
"아버지","Father"
"남자","Man"
"어디","Where"
"몸","Body, physique"
"얼굴","Face"
"들어가다","To go in to, to enter"
"왜","Why?"
"나타나다","Come out, appear"
"말다","To roll up, Stop, break off"
"지역","An area, region"
"다르다","Be different"
"모습","Shape, body"
"물","Water"
"만나다","Meet"
"내다","To turn something in, to pay, To see through, to make it through sth"
"쓰다","To write, to use something"
"이것","This thing"
"없이","Without"
"이번","This time"
"길","Road"
"생활","Lifestyle, livelihood"
"지금","(just/right) now , Now, the present"
"뿐","Only, alone, merely (used after a noun)"
"사이","Space between 2 points; the relationship between 2 people"
"방법","Way, method"
"새롭다","To be new, novel"
"우리나라","Our country. It is used by koreans to say ""Korea"""
"앉다","To sit down"
"처음","The beginning or start"
"손","The hand"
"몇","A few"
"그때","Then or at that time"
"과정","Process or course"
"삶","Life"
"갖다","To hold, to possess"
"찾다","Seek, look for"
"특히","Especially"
"시","Time (hour), Poem, Poetry, lines of verse"
"이상","Strange, odd, weird, bizarre, unusual, uncommon"
"나가다","To go out, to leave, To advance, proceed, go forward"
"이야기","Conversation, talk"
"교육","Education"
"사다","To buy, purchase"
"경제","Economy"
"아직","Still, (not) yet"
"잡다","Seize, catch"
"같이","Together"
"선생님","Teacher"
"예술","Art, an art"
"서다","To stand"
"못","Nail"
"역사","History"
"읽다","To read"
"이제","Now, By now"
"결과","Result"
"내용","Contents"
"물론","Of course"
"동안","During"
"책","A book"
"일어나다","To rise, get up"
"당신","Formal you"
"시장","Market, fair"
"넣다","Put in, set in"
"중요하다","To be important, weighty"
"무슨","What, what kind of"
"느끼다","To feel"
"어렵다","To be hard, difficult"
"힘","Power, strength"
"너무","Too much"
"나라","A country"
"부르다","To call"
"의미","A meaning, a sense"
"자리","Seat, spot"
"밝히다","To light (up), brighten (up), To reveal, disclose, ""bring something to light"""
"죽다","Die, pass away"
"이미","Already"
"쪽","Way, direction"
"정치","Politics"
"국민","Citizens of a nation"
"생명","Life"
"얘기","Story, a talk, a conversation"
"학생","Student"
"연구","Research"
"엄마","Mamma, mom"
"이름","Name"
"내리다","Fall, come down, rain, snow, To get off of"
"사건","An event, incident, affair"
"및","As well as"
"쉽다","To be easy"
"짓다","To make, build ; to form a line (a group)"
"또한","Also, too"
"이유","Reason"
"또는","Or"
"필요하다","To need"
"글","Words, a verse, (a piece of) writing"
"생기다","To be formed, Arise, occur, happen"
"사용하다","To use"
"남편","Husband"
"들어오다","To enter, to come in"
"밖","The outside"
"세상","The world, society"
"작다","Small"
"타다","Ride (bus)"
"대학","University"
"작품","A work (of art), piece (of music)"
"상황","State of things"
"가운데","In the middle"
"보내다","Send"
"두다","To put, set, place, position, (informal) park, Leave (behind)"
"즉","Namely, that is to say"
"따라서","Therefore"
"상태","Condition, state"
"이후","After that"
"당시","At that time"
"문학","Literature"
"더욱","More and more"
"아주","Extremely"
"지방","A locality, district"
"밤","Night"
"높다","High"
"최근","Recently"
"채","Condition (e.g. 그는 숨진 채 발견되었다... that person was found dead)"
"현실","Actuality, reality"
"환경","Environment"
"컴퓨터","Computer"
"먼저","First"
"다니다","Go, (formal) frequent, Run, go, pass"
"얼마나","How (only used in a question form): How many, how much..."
"자체","Within one entity, one's own body, Itself, themselves, ourself..."
"열다","Open"
"머리","Head"
"묻다","To ask"
"남다","Remain, be left over"
"부분","Part, portion"
"기업","An enterprise or business"
"거기","There"
"변화","Change, transformation"
"아들","Son, baby"
"뜻","Meaning, sense, mind"
"아","Oh dear!, ""Oooh!"" ""Crap"" ""Ouch"" ..."
"기다리다","To wait"
"떨어지다","To fall"
"선거","An election"
"관하다","Refer to or be about"
"그냥","Just because or in that condition"
"나누다","To divide, to split, divide (up), distribute"
"이용하다","To use, make use of"
"거의","Almost or nearly"
"곧","Soon"
"중심","The center, the middle"
"활동","Activity"
"오늘","Today, This day"
"서로","Mutually, one another"
"관심","Concern or interest"
"역시","Also, too, as well, As expected, likewise"
"이거","This thing"
"애","A baby, ""person"" when conversing with someone informally"
"광고","Advertisement"
"방","A room"
"정신","Mind, spirit"
"이르다","To reach, arrive, get at"
"땅","Earth, land"
"이루다","Accomplish, complete"
"아침","Morning"
"웃다","To laugh, smile"
"현상","The present situation, state"
"떠나다","To leave"
"기술","Art or technique or ability"
"전체","The whole, the entire section"
"그래","So, yes, that's right, yeah/really?"
"얻다","Get, obtain"
"분","Minute, Counter for people (respectful form of 명), One part"
"아름답다","To be beautiful"
"끝","The end"
"민족","A groupe of people that share a similar ancestorial background"
"간","Liver"
"조사","Investigation, inquiry"
"듯","To be like something, as though, as if, like"
"입","Mouth"
"그대로","Like that"
"영화","A movie"
"필요","Need, requirement, necessity"
"줄","Way, method"
"하늘","The sky"
"년대","Year (1960 년대 -1960s)"
"과학","Science"
"듯하다","Look like, seem, appear, sound like, look as if"
"자연","Nature"
"정말","Really"
"구조","Construction or structure"
"결국","After all or in the end"
"밥","Rice, a meal"
"입다","To wear"
"오히려","Rather, preferably"
"프로그램","Program"
"네","Yes (agree with someone)"
"이루어지다","Consist of, be composed of, be made up of,be comprised of"
"남","Others, other people, South"
"하루","A day"
"그림","A picture"
"적","The time, the occasion, when"
"터","One's status, one's lot"
"마시다","To drink"
"치다","To attack, assault"
"혼자","Alone"
"교수","Professor (Prof.)"
"술","Alcohol"
"사랑","Love"
"의식","Consciousness, awareness"
"전화","Telephone"
"끝나다","To draw to a close, to end"
"돌아오다","To return, to come back"
"맞다","Be right, correct; to match, be fitting for, Receive, welcome, To be hit by something"
"아빠","Dad"
"걸리다","To be hung up or suspended, To be caught, Take (time), the amount of time it takes"
"지키다","Protect, maintain"
"한번","Once"
"커피","Coffee"
"가슴","Chest, breasts"
"길다","To be long"
"바라보다","Look at, watch ; to look forward to, hope for"
"알아보다","To investigate, examine, search"
"회사","Company"
"맛","Flavor"
"대부분","Most (of), the greater part (of), a great part (of)"
"산업","Industry"
"매우","Very"
"오르다","Go up, climb, ascend"
"음식","Food"
"표정","Facial expression, look"
"꼭","For sure"
"일부","A part, a portion"
"요즘","Recently, nowadays"
"계획","A plan or a project"
"느낌","Touch, feel"
"얼마","How many, how much"
"고개","Head, the nape of the neck, Hill"
"성격","Personality ; character, nature"
"계속","Continuously"
"세기","Century"
"세우다","Stand, erect, make sth stand"
"아내","Wife"
"가족","Family"
"세","Age in years (used when talking about someone's age formally), Three (counting countable item)"
"발전","Development"
"차","A vehicle, train/auto car, Tea, Difference (in/between), distinction (between), gap (between)"
"놀다","Play, amuse oneself"
"향하다","To face, look out on, To go towards something"
"관련","Relation or connection or reference"
"형태","Form, shape"
"각","Each or every"
"도시","City"
"작업","Work, job"
"분위기","Atmosphere, surroundings"
"그러하다","To be so or right"
"자기","Magnetism, Oneself, number one, numerouno, self, darling"
"나이","Age"
"우선","First of all, before everything"
"믿다","Believe"
"바꾸다","Change, exchange"
"낳다","To give birth"
"바","Bar"
"정보","Information, intelligence"
"열리다","Open, be opened, be unlocked"
"좋아하다","To like, be fond of"
"그리다","Picture or draw a picture"
"만큼","Of that amount"
"배우다","To learn"
"역할","A part, a role"
"옆","Side; to the side"
"행동","Action, behavior"
"어","Yes (informally), uhh (filler). Also mean ""what"" when used as a question ""어?"""
"국내","Inside the country"
"비하다","Compare to"
"기관","An engine or a machine, Agency (usually a public one)"
"입장","A position, situation, Admission, entrance, enter, go (in), come (in)"
"만하다","Worth, (formal) worthy of"
"예","Yes, certainly, right, Illustration example, instance, case"
"아래","The bottom, the lower part"
"방식","A form, method, process"
"영향","Influence, consequences"
"그럼","Certainly or of course."
"나서다","Come out, come forth, to stand up front"
"흐르다","Flow, stream"
"깊다","Deep"
"배","Abdomen, stomach, belly, boat, ship, vessel, Multiples (two times, three times, etc) ]"
"내","Inside"
"모양","A shape, form, Status, conditions"
"산","A mountain"
"새","Bird, New"
"하지만","But, nevertheless"
"조건","Condition, stipulation"
"문","Door"
"꽃","Flower"
"단계","A step, phase"
"올리다","Raise, lift up"
"그동안","During that time"
"교사","Instructor"
"갑자기","Suddenly"
"넘다","Cross or go across"
"지니다","Carry with, hold, possess"
"바람","Wind"
"잘하다","To do well"
"마을","Town"
"어리다","Young, juvenile"
"대표","Representative"
"가능성","Possibility"
"방향","Direction"
"대회","Meeting, rally, conference, Competition, championship(s), (track) meet (토너먼트) tournament"
"목소리","Voice"
"노래","Song"
"바다","Sea"
"힘들다","To be hard, difficult"
"공부","Study"
"움직이다","To move"
"의원","A small doctor's office, clinic, Assemblyman, assemblywoman, congressman, congresswoman"
"노력","Effort"
"전혀","Entirely, utterly, completely (only used in a negative sense)"
"언니","Older sister to a female"
"단체","A corps, a group"
"알려지다","To become known"
"가능하다","To be possible"
"능력","Ability, capability, how much and how well"
"주장하다","To assert, maintain, To insist, to argue (a point)"
"자식","One's children"
"돌리다","To turn something"
"불","Fire"
"주민","Inhabitants, resident, dwellers"
"모으다","Gather, get together, collect"
"자료","Materials, data"
"존재","Existence"
"학년","School grade (as in 1st, 2nd, 3rd,...)"
"신문","A newspaper"
"이해하다","To understand"
"제품","Manufactured goods"
"분야","Field (used in regards of industry)"
"선생","Teacher"
"돌아가다","To go back"
"사업","Privately owned business"
"행위","An act, deed, behavior"
"수준","Level"
"지난해","Last year"
"표현","Verbal expression, representation, manifestation"
"기분","Mood, feelings"
"대","Era, period"
"젊다","To be young, youthful"
"동시","At the same time, simultaneously"
"옷","Clothes"
"기능","Function or functionality"
"순간","A moment, a second"
"전쟁","War"
"전","Pancake, Before"
"꿈","A Dream"
"할머니","Grandmother"
"회의","A meeting, a conference"
"방송","Broadcast"
"이야기하다","To talk"
"나무","Tree"
"자다","To sleep"
"연극","Play (as a form of art (like acting)"
"마찬가지","The same, as well"
"걷다","To walk"
"노동","Labor, work"
"이때","At this time, moment"
"과거","The past"
"가치","Value, worth"
"집단","A group, a collective body"
"현대","The present age, times"
"살펴보다","Examine, search, check"
"장관","Grand, magnificent, sight, spectacle"
"차이","Difference, disparity"
"풀다","Untie, loosen ; to melt into"
"시절","Season, time, occasion"
"물건","A thing, object"
"직접","Directly, personally"
"개인","Private, individual, personal"
"근데","By the way"
"발","Foot"
"작가","Writer, author"
"효과","Effect, effectiveness"
"불교","Buddhism"
"끌다","Pull"
"대로","Main street, main road, thoroughfare, boulevard"
"빨리","Quickly"
"시작되다","To begin, start"
"둘","Two (native Korean numbers)"
"설명하다","To explain"
"우주","The universe"
"시기","An opportunity, chance"
"마치","As though, as if"
"살","Flesh, Age/Years old"
"생산","Production, produce, manufacture, turn (sth) out"
"바라다","Wish, hope"
"강하다","To be strong or powerful"
"경험","Experience or undergo or suffer"
"음악","Music"
"최고","The best"
"나타내다","Show, display"
"아프다","To hurt, to be sick"
"적다","To be small, few in number"
"비","Rain"
"고향","Hometown"
"놀라다","Be surprised"
"다양하다","To be various, diverse"
"울다","To cry, weep"
"농민","A farmer"
"드러나다","To appear, to reveal"
"은행","A bank"
"지내다","To pass, spend time"
"결혼","Marriage"
"동생","Younger sibling"
"법","A law, the law"
"소설","A novel, fiction story"
"예","Illustration example, instance, case, Yes, certainly, right"
"오후","The afternoon"
"질서","Order, system"
"담다","To put something into an object."
"모이다","Meet, assemble"
"시민","Residents of a city"
"회장","Chairman, the president"
"빠르다","Be fast, quick"
"스스로","On its own, of its own free will"
"아기","Baby, infant, child"
"아저씨","Sir, calling an unknown male"
"옛날","A long time ago, in the old days"
"이날","Today, this day"
"제대로","As properly is suitable"
"달","The moon, Month"
"던지다","To throw"
"참","Truth, Really, truly"
"공간","Space or room"
"이곳","This place, here"
"딸","daughter"
"마지막","Last, final"
"벌이다","To plan to start a job/project"
"병원","Hospital"
"자세","Position, posture"
"강조하다","Place empasis upon"
"경찰","The police"
"맡다","Take charge of"
"저녁","Evening"
"한편","One side, one way"
"그러면","If so or if that is the case"
"기자","A journalist"
"넓다","Large, big, extensive, spacious, roomy"
"시험","A test"
"잠","Sleep (noun)"
"주로","Mostly, mainly, chiefly, principally, primarily, in the main, Usually"
"훨씬","By far, very much so"
"면","Side"
"통일","Unification"
"들어서다","To enter, to take up a position"
"건강","Health"
"가깝다","Close, to be near"
"건물","Building"
"시설","Establishment, institution"
"외국","A foreign country"
"밑","The bottom, under"
"어른","An adult"
"주변","Surrounding area"
"대신","Instead of"
"원인","A cause, a factor"
"팔다","To sell"
"차례","Order, precedence, One time, one round"
"군","An army"
"열심히","Enthusiastically, with zeal"
"일하다","To work, labor"
"재산","Property, fortune, assets, possessions"
"조금","A little, a few, a bit, A little (bit), a (short/little) while, (for) a moment[minute, second]"
"팀","Team"
"부모","Parents"
"약간","A little"
"Somewhat",""
"언어","Language, speech"
"요구하다","To demand, claim, request"
"올라가다","To go up, ascend"
"첫","First"
"감독","Director, superviser"
"그날","That day or that same day"
"자주","Always, constantly"
"당하다","Have, encounter, suffer (used more as a negative term, as in "" had a car accident"", ""being fooled into something"", ""scammed"" )"
"삼다","Make a thing of"
"약","About, approximately, medicine"
"기간","A period or a time or"
"담배","Cigarette, tobacco"
"일으키다","To start something, to help somebody get up (physically assisting themto get up from the ground)"""
"일단","First, before we continue with something"
"할아버지","Grandfather"
"조직","Organization (composition, structure)"
"태어나다","To be born, see the light of day"
"공장","Construction site"
"벌써","Already"
"즐기다","Enjoy oneself, take pleasure, delight"
"지","Since, from"
"환자","A patient"
"변하다","Change"
"사고","An accident"
"그래도","But still, even though"
"아무리","However much, no matter"
"맞추다","Adjust, adapt, To guess correctly"
"쌀","Uncooked rice"
"일반","Universal, common, usual"
"재미있다","Interesting, fun"
"가르치다","To teach"
"대화","Conversation"
"막다","Stop, obstruct"
"올해","This year"
"형","An elder brother to a male"
"달리","Differently"
"붙이다","Affix, put on"
"인물","A man, a person, also can be used as ""character"" when talking about a person."
"늘","Always"
"전국","The whole country, nation wide"
"마치다","Finish, complete"
"전","All, every, whole, entire, complete [전]"
"다만","Only, merely"
"도움","Help"
"가정","Household, family"
"걸다","Hang up or suspend"
"빠지다","To fall into"
"멀다","To be far"
"버스","Bus"
"오늘날","These days, nowadays"
"잠시","For a little while"
"농업","Agriculture"
"대다","Put, place up to"
"식","Form, style"
"의견","An opinion, a suggestion"
"무대","Stage"
"사진","Picture"
"주장","Assertion, insistance"
"표현하다","To express, make known by saying"
"인하다","To be due to, caused by"
"이상하다","Abnormality, disorder, strange, odd, weird"
"제일","The first, the bset"
"붙다","Stick, adhere to"
"아마","Probably"
"얘기하다","To say, to tell"
"잇다","Join, connect"
"경기","Race, match, contest, tournament, Economic climate"
"목적","Goal, purpose"
"태도","Attitude, comportment"
"남성","Male"
"주위","Around, round, surrounding area"
"대책","Countermeasure, measure(s), step(s)"
"그만","That much or a little amount, Stop"
"발생하다","Originate, come from"
"다리","Leg, Bridge"
"아무","Nobody, nowhere, no one"
"어쩌다","By chance, accident"
"재료","Stuff, material"
"각각","Each and every"
"결코","Never or by no means"
"옮기다","Move, transfer , (sickness) communicate, transfer to"
"항상","Always"
"해","A year, Sun"
"잃다","To lose, to miss, to be deprived"
"자유","Freedom"
"책임","Responsibility"
"바뀌다","Be changed"
"비슷하다","To resemble, to be similar"
"심하다","To be extreme, intense"
"경쟁","Competition or rivalry"
"달러","Dollar"
"사랑하다","To love"
"아니","No!, Not"
"여름","Summer, summertime"
"자라다","To grow up"
"회","A time, an inning, a round in a game"
"구체적","In detail, concretely"
"기회","An opportunity"
"실시하다","To enforce, put into effect"
"지구","The earth"
"번째","xth (which number or part of an order"" something is in.) ex: 첫[두] 번째 - the first (second)"
"소비자","A consumer"
"싫다","To not like, to hate"
"규모","Scale or scope or structure"
"기준","A standard or basis"
"말","Words, speaking"
"반드시","Must, most certainly"
"셈","Calculation, figures"
"갖추다","Make or get ready or prepare"
"그러니까","And so it is that"
"받아들이다","Accept"
"값","Price"
"현장","On site, on location, at the site in question"
"건설","Construction"
"꺼내다","To get out, draw out, take out"
"노동자","Laborer, worker"
"동네","Neighborhood"
"언제나","Always"
"완전히","Completely, perfectly"
"자동차","Car"
"전하다","Tell, convey, communicate, let sb know (보도하다) report, To transit, transfer, or to pass on to someone/ something."
"존재하다","To exist"
"개월","Used only when you are measuring something by the amount of months"
"별로","Not really"
"어린이","A youngster, a child"
"정하다","To set, determine, to choose"
"한마디","One word"
"유지하다","To preserve, maintain"
"이데올로기","Ideology"
"공부하다","To study"
"대중","The (general) public"
"늘어나다","Grow longer"
"닦다","Wipe clean, polish"
"만","Ten thousand"
"말씀","Speech"
"괜찮다","To be okay"
"눈물","A tear"
"각종","All sorts or varieties"
"빛","Light"
"피하다","Avoid, keep away"
"거치다","Pass or go through"
"나아가다","Advance, go forward"
"야","(Word to get somebody's attention) Hey!! ""To be"" during informal conversation between close friends and family"
"지식","Knowledge, information"
"현재","The present"
"여전히","As it used to be, as before ; still, persistently, even still"
"주인","An owner"
"발견하다","To discover"
"선","A line, a route"
"인류","The human race"
"특징","A special feature, a distinguishing feature"
"드리다","To give"
"선수","An athlete"
"형식","A form, formality, mold"
"마련하다","To plan, arrange"
"반","Half, Group, company, party"
"발표하다","To announce"
"주제","Subject, theme, topic"
"걸치다","Put a thing over or across"
"겪다","Experience, undergo, suffer"
"관점","A point of view or a standpoint/outlook"
"귀","Ear"
"기본","Basis (bases) , foundation"
"미터","Meter"
"사라지다","To disappear"
"어떠하다","To be in a certain way/fashion"
"감정","Feelings"
"기억","A memory"
"놈","A fellow (it is a derogatory term)"
"인기","Popularity"
"아파트","Apartment"
"가끔","Rarely"
"구성","Organization or constitution , the framework of something"
"실제로","In reality"
"짧다","Short, brief"
"고맙다","To thank"
"관리","Management or administration"
"그곳","That place"
"달다","To be sweet"
"비롯하다","Also and, also including"
"과연","Just as one thought"
"들리다","(passive) to be heard"
"달리다","Run, make do fast"
"바쁘다","Busy"
"이전","Former days/times"
"인정하다","To admit something"
"자","A ruler, Letter, character, Man, person"
"중앙","The middle and the heart"
"나쁘다","To be bad"
"불구하다","Disregard, be not deterred[bothered, hindered] (by)"
"시키다","To make"
"게임","Game"
"국제","International"
"그룹","Group"
"인생","Life"
"전통","Tradition, convention"
"기르다","Educate or train or cultivate"
"잔","A cup, wine glass"
"조사하다","To examine, investigate"
"커다랗다","To be very big/large"
"있다","To have, to be"
"시인","A poet"
"언제","When, at what time, Sometime, anytime, whenever"
"외","Outside of (그 외 - outside of them, the rest)"
"평가","Evaluation, appraisal, assessment"
"내려오다","Come down"
"위치","A position, a location"
"줄이다","Reduce, decrease"
"가격","Price"
"달라지다","To change, vary"
"비다","To be empty, vacant"
"삼국","Three countries"
"손님","Customer"
"원하다","To want"
"통신","Communications, correspondance"
"확인하다","To confirm, corroborate"
"모임","A group, a party"
"수","The number of sth, Way, method"
"웃음","Laughter, a smile"
"기계","An instrument or a machine"
"물질","Matter, material"
"아나운서","Announcer"
"뉴스","News"
"살아가다","Lead a life, get along"
"펴다","Spread out, unfold"
"배","Multiples (two times, three times, etc), stomach, Boat"
"수업","School, teaching"
"겨울","Winter"
"종교","Religion, a faith"
"층","Floor, grade, class"
"자연스럽다","To be natural"
"장","One piece of sth flat"
"돌다","To revolve, rotate, spin"
"식사","Meal (formal)"
"안다","To hold, embrace"
"이해","Understanding"
"잊다","To forget"
"제시하다","To present a physcial thing (such as an ID card), to present an idea or opinion"
"반","Group, company, party, half"
"불과하다","Nothing more than"
"혹은","If that's not the case, or"
"엄청나다","Huge, great, enormous, massive, tremendous, excessive, an overwhelming amount of something"
"편","Direction, way, Compilation, editing"
"텔레비전","Television"
"파악하다","Grasp, seize, understand"
"실천","To phsyically do something, practice, action, fulfill"
"노력하다","To try hard, strive"
"보호","Protection, shelter"
"씻다","To wash, cleanse"
"늦다","To be late (time)"
"이웃","Neighbor"
"편지","Letter"
"공동","Association or union or collaboration"
"까닭","Reason"
"방안","A plan, scheme"
"센티미터","Centimeter"
"팔","An arm"
"분명하다","To be clear/obvious"
"분석","Analysis"
"소녀","A young girl"
"지나가다","To pass, elapse"
"상품","Product, goods"
"설명","Explanation"
"훌륭하다","To be excellent"
"관계자","The interested or affected parties"
"새로","Newly, anew, Vertical"
"이어지다","Get joined, be connected"
"티브이","TV"
"봄","Spring"
"종류","Kind, sort, species"
"낮다","Be low"
"어깨","Shoulder"
"지적하다","To point out, to correct"
"부부","Man and wife"
"오래","Long, for a long time"
"요구","A demand, claim, request"
"키우다","To raise, bring up, rear"
"눕다","Lie down"
"발달하다","To develop"
"발전하다","To improve, to develop, grow"
"여행","Trip"
"죽음","Death"
"고통","Suffering or agony"
"등장하다","To appear, to enter the stage"
"공","Ball"
"듯이","As if"
"어울리다","To hang out with someone/group"
"오월","May"
"쉬다","To relax, take a break"
"알리다","To inform, tell a person"
"차다","To be full, to be filled with (PASSIVE)"
"과","A lesson or a section or a department"
"멀리","Far away"
"빼다","Pull out, extract"
"예정","Scheduled, planning to do something"
"오빠","Older brother to a female"
"즐겁다","Be pleasant, agreeable"
"한계","Boundary, limits"
"흔히","Generally, commonly, often"
"바탕","Foundation (of), basis (of/for)"
"사월","April"
"싸우다","To fight"
"예쁘다","Pretty, lovely"
"갈등","Conflict or troubles"
"느껴지다","Feel"
"의지","Will, volition, Depending on something or someone"
"전문","One's specialty"
"정확하다","To be exact"
"초기","The early days, the initial period"
"나중","The last, the latter part"
"맛있다","Delicious"
"며칠","A few days, several day, number of days"
"신경","Nerves"
"찾아오다","To go meet somebody, to go get sth"
"미","Beauty, grace"
"사용","Use, imply"
"시선","One's gaze, one's line of vision"
"아무런","No sort of"
"언론","Media"
"투자","Investment"
"지원","Helping, supporting, aiding, backing"
"결정하다","To decide"
"경영","Management or administration"
"목표","Goal, object"
"성장","Growth"
"숲","Forest"
"없어지다","To lose, to go missin, disappear"
"작년","Last year"
"내려가다","To go downwards"
"떠오르다","To rise, To remember"
"미치다","To reach, Go crazy"
"새벽","Dawn, daybreak"
"쓰레기","Garbage, trash"
"얼른","Fast, quickly, rapidly"
"임금","Wages, pay"
"피해","Damage"
"한","Resentment, sorrow, regret, one"
"무섭다","Fearful, dreadful"
"직장","One's work place"
